,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:06PM ET,boxscore,W,,Jan-00,@,Cleveland Browns,27,17,17,294,155,139,,17,285,202,83,1,0.57,10.45,2.08
2,Sun,18-Sep,4:15PM ET,boxscore,L,,1-Jan,@,Denver Broncos,22,24,18,382,310,72,,19,318,187,131,2,-0.57,0.55,-4.52
3,Sun,25-Sep,1:02PM ET,boxscore,L,,2-Jan,,San Francisco 49ers,8,13,14,228,149,79,3,16,226,176,50,1,-14.52,11.32,-4.57
4,Sun,2-Oct,1:03PM ET,boxscore,W,,2-Feb,,Buffalo Bills,23,20,25,458,287,171,2,12,273,190,83,,4.87,3.68,-3.49
5,Sun,9-Oct,1:02PM ET,boxscore,W,,2-Mar,@,Jacksonville Jaguars,30,20,13,239,162,77,1,12,296,200,96,2,-10.47,14.15,6.78
6,Sun,16-Oct,1:02PM ET,boxscore,W,,2-Apr,,Indianapolis Colts,27,17,17,358,264,94,,18,273,179,94,3,5.04,7.83,0.94
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,30-Oct,4:16PM ET,boxscore,W,,2-May,@,Seattle Seahawks,34,12,18,252,160,92,2,20,411,350,61,2,-0.55,8.79,5.57
9,Sun,6-Nov,4:05PM ET,boxscore,W,,2-Jun,@,Tennessee Titans,24,17,20,319,210,109,,19,328,250,78,1,6.9,-1.08,-3.12
10,Sun,13-Nov,1:02PM ET,boxscore,L,,3-Jun,,Pittsburgh Steelers,17,24,14,279,170,109,2,24,328,223,105,1,-4.55,-6.07,2.94
11,Sun,20-Nov,1:02PM ET,boxscore,L,,4-Jun,@,Baltimore Ravens,24,31,23,483,364,119,3,13,373,268,105,1,-0.08,-0.72,-5.47
12,Sun,27-Nov,1:02PM ET,boxscore,W,,4-Jul,,Cleveland Browns,23,20,18,389,257,132,1,17,274,140,134,1,1.39,4.6,2.24
13,Sun,4-Dec,1:02PM ET,boxscore,L,,5-Jul,@,Pittsburgh Steelers,7,35,13,232,128,104,2,22,295,159,136,,-8.79,-9.71,-9.4
14,Sun,11-Dec,1:02PM ET,boxscore,L,,6-Jul,,Houston Texans,19,20,16,285,184,101,2,25,412,268,144,4,-0.3,-4.54,5.91
15,Sun,18-Dec,1:00PM ET,boxscore,W,,6-Aug,@,St. Louis Rams,20,13,19,283,173,110,1,18,305,210,95,,-5.09,3.91,7.32
16,Sat,24-Dec,1:02PM ET,boxscore,W,,6-Sep,,Arizona Cardinals,23,16,21,301,136,165,2,17,316,257,59,3,-3.11,12.42,-4.37
17,Sun,1-Jan,4:16PM ET,boxscore,L,,7-Sep,,Baltimore Ravens,16,24,19,336,231,105,1,15,347,126,221,,0.34,-9.89,2.24
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,7-Jan,4:35PM ET,boxscore,L,,8-Sep,@,Houston Texans,10,31,21,300,224,76,3,19,340,152,188,,-5.39,-13.28,-2.15
