,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:00PM ET,boxscore,T,OT,0-0-1,@,Cleveland Browns,21,21,25,472,313,159,6,22,327,150,177,1,-12.3,11.02,1.51
2,Sun,16-Sep,1:00PM ET,boxscore,L,,0-1-1,,Kansas City Chiefs,37,42,33,475,442,33,,24,449,322,127,1,26.79,-23.25,-10.45
3,Mon,24-Sep,8:15PM ET,boxscore,W,,1/1/2001,@,Tampa Bay Buccaneers,30,27,22,413,335,78,1,28,455,392,63,4,9.86,-3.18,-2.73
4,Sun,30-Sep,8:20PM ET,boxscore,L,,1/2/2001,,Baltimore Ravens,14,26,14,284,265,19,2,24,451,355,96,1,-10.05,-7.71,2.06
5,Sun,7-Oct,1:00PM ET,boxscore,W,,2/2/2001,,Atlanta Falcons,41,17,22,381,250,131,1,22,324,262,62,1,20.96,1.13,0.44
6,Sun,14-Oct,1:00PM ET,boxscore,W,,3/2/2001,@,Cincinnati Bengals,28,21,26,481,369,112,,19,275,213,62,,20.96,-8.56,-7.33
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,28-Oct,1:00PM ET,boxscore,W,,4/2/2001,,Cleveland Browns,33,18,25,421,253,168,2,17,237,163,74,1,12.48,4.68,-3.07
9,Sun,4-Nov,1:00PM ET,boxscore,W,,5/2/2001,@,Baltimore Ravens,23,16,27,395,282,113,,18,265,204,61,,17.75,-6.84,-4.01
10,Thu,8-Nov,8:20PM ET,boxscore,W,,6/2/2001,,Carolina Panthers,52,21,25,457,319,138,,18,242,147,95,2,32.06,-1.09,3.22
11,Sun,18-Nov,1:00PM ET,boxscore,W,,7/2/2001,@,Jacksonville Jaguars,20,16,19,323,297,26,3,15,243,64,179,1,-6.42,16.23,-4.09
12,Sun,25-Nov,4:25PM ET,boxscore,L,,7/3/2001,@,Denver Broncos,17,24,25,527,452,75,4,17,308,184,124,,4.46,-4.02,-5.12
13,Sun,2-Dec,8:20PM ET,boxscore,L,,7/4/2001,,Los Angeles Chargers,30,33,23,336,271,65,1,22,371,286,85,,14.79,-17.37,-0.62
14,Sun,9-Dec,4:25PM ET,boxscore,L,,7/5/2001,@,Oakland Raiders,21,24,24,340,300,40,1,20,354,299,55,1,12.58,-9.34,-6.37
15,Sun,16-Dec,4:25PM ET,boxscore,W,,8/5/2001,,New England Patriots,17,10,24,376,218,158,2,18,368,272,96,1,10.75,-1.22,-3.62
16,Sun,23-Dec,4:25PM ET,boxscore,L,,8/6/2001,@,New Orleans Saints,28,31,26,429,364,65,2,24,370,313,57,1,8.12,-13.76,2.37
17,Sun,30-Dec,4:25PM ET,boxscore,W,,9/6/2001,,Cincinnati Bengals,16,13,18,343,278,65,1,9,196,71,125,,-6.63,10.88,0.17
