,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:06PM ET,boxscore,W,,Jan-00,@,Kansas City Chiefs,41,7,23,364,201,163,1,13,213,105,108,3,12.91,14.87,5.51
2,Sun,18-Sep,1:03PM ET,boxscore,W,,Feb-00,,Oakland Raiders,38,35,34,481,258,223,1,26,454,323,131,2,29.88,-23.41,-4
3,Sun,25-Sep,1:03PM ET,boxscore,W,,Mar-00,,New England Patriots,34,31,24,448,369,79,2,30,495,387,108,4,9.66,-9.55,0.63
4,Sun,2-Oct,1:03PM ET,boxscore,L,,1-Mar,@,Cincinnati Bengals,20,23,12,273,190,83,,25,458,287,171,2,-3.68,-4.87,3.49
5,Sun,9-Oct,1:04PM ET,boxscore,W,,1-Apr,,Philadelphia Eagles,31,24,21,331,188,143,1,24,489,315,174,5,7.45,0.46,-1.56
6,Sun,16-Oct,1:02PM ET,boxscore,L,,2-Apr,@,New York Giants,24,27,17,374,219,155,2,24,414,292,122,,10.8,-18.88,0.88
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,30-Oct,4:05PM ET,boxscore,W,,2-May,,Washington Redskins,23,0,17,390,252,138,2,10,178,152,26,2,4.37,21.45,-2.96
9,Sun,6-Nov,1:03PM ET,boxscore,L,,3-May,,New York Jets,11,27,14,287,191,96,3,24,348,222,126,2,-12.27,-5.28,-0.07
10,Sun,13-Nov,1:02PM ET,boxscore,L,,4-May,@,Dallas Cowboys,7,44,20,271,136,135,4,24,433,270,163,,-12.73,-24.58,1.15
11,Sun,20-Nov,1:02PM ET,boxscore,L,,5-May,@,Miami Dolphins,8,35,14,245,204,41,2,16,242,147,95,,-21.57,-2.62,-3.29
12,Sun,27-Nov,1:02PM ET,boxscore,L,,6-May,@,New York Jets,24,28,21,336,250,86,,20,318,180,138,2,2.05,-13.01,3.17
13,Sun,4-Dec,1:02PM ET,boxscore,L,,7-May,,Tennessee Titans,17,23,18,386,282,104,2,18,317,130,187,,2.05,-4.41,-6.33
14,Sun,11-Dec,4:15PM ET,boxscore,L,,8-May,@,San Diego Chargers,10,37,17,281,185,96,3,23,366,216,150,1,-15.21,-13.5,0.03
15,Sun,18-Dec,1:02PM ET,boxscore,L,,9-May,,Miami Dolphins,23,30,21,404,291,113,3,17,448,194,254,3,-5.23,-0.12,-2.44
16,Sat,24-Dec,1:02PM ET,boxscore,W,,9-Jun,,Denver Broncos,40,14,14,351,191,160,,18,285,152,133,3,2.61,19.86,3.89
17,Sun,1-Jan,1:02PM ET,boxscore,L,,10-Jun,@,New England Patriots,21,49,26,402,296,106,4,28,480,342,138,1,2.1,-23.96,-6.56
