,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:03PM ET,boxscore,W,,Jan-00,,Indianapolis Colts,27,14,15,342,195,147,,23,304,240,64,3,5.84,-1.79,9.54
2,Sun,20-Sep,1:02PM ET,boxscore,L,,1-Jan,,New England Patriots,32,40,23,349,189,160,3,28,507,451,56,2,5.24,-6.15,-7.57
3,Sun,27-Sep,4:25PM ET,boxscore,W,,1-Feb,@,Miami Dolphins,41,14,21,428,277,151,,21,391,289,102,3,19.56,8.29,-2.1
4,Sun,4-Oct,1:02PM ET,boxscore,L,,2-Feb,,New York Giants,10,24,14,313,258,55,2,19,303,211,92,1,-16.54,7.99,-0.49
5,Sun,11-Oct,1:03PM ET,boxscore,W,,2-Mar,@,Tennessee Titans,14,13,13,209,82,127,1,17,276,179,97,1,-1.53,2.28,0.63
6,Sun,18-Oct,1:02PM ET,boxscore,L,,3-Mar,,Cincinnati Bengals,21,34,22,368,256,112,1,21,355,243,112,,7.47,-16.07,-6.83
7,Sun,25-Oct,8:35AM ET,boxscore,L,,4-Mar,@,Jacksonville Jaguars,31,34,26,375,260,115,4,17,295,175,120,1,-12.44,5.82,2.68
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,8-Nov,1:02PM ET,boxscore,W,,4-Apr,,Miami Dolphins,33,17,18,420,154,266,,29,397,289,108,1,21.16,-17.01,8.7
10,Thu,12-Nov,8:26PM ET,boxscore,W,,4-May,@,New York Jets,22,17,13,280,132,148,,15,318,190,128,4,-11.29,11.12,8.48
11,Mon,23-Nov,8:30PM ET,boxscore,L,,5-May,@,New England Patriots,13,20,16,319,225,94,1,18,356,271,85,1,-1.49,-1.75,-3.36
12,Sun,29-Nov,1:03PM ET,boxscore,L,,6-May,@,Kansas City Chiefs,22,30,25,415,286,129,2,21,413,255,158,,7.54,-16.67,-0.74
13,Sun,6-Dec,1:02PM ET,boxscore,W,,6-Jun,,Houston Texans,30,21,15,390,203,187,,21,401,275,126,1,11.35,-3.17,1.56
14,Sun,13-Dec,1:01PM ET,boxscore,L,,7-Jun,@,Philadelphia Eagles,20,23,18,412,260,152,2,20,348,232,116,1,1.5,-0.91,-3.3
15,Sun,20-Dec,1:03PM ET,boxscore,L,,8-Jun,@,Washington Redskins,25,35,21,452,212,240,,23,431,308,123,1,13.71,-27.35,0.21
16,Sun,27-Dec,1:02PM ET,boxscore,W,,8-Jul,,Dallas Cowboys,16,6,19,408,172,236,2,14,307,186,121,2,-0.35,4.89,6.43
17,Sun,3-Jan,1:02PM ET,boxscore,W,,8-Aug,,New York Jets,22,17,18,295,182,113,1,15,300,178,122,3,-0.17,1.41,5.25
