,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,4:25PM ET,boxscore,W,,Jan-00,@,San Francisco 49ers,23,3,20,287,171,116,2,13,217,166,51,2,-0.04,22.9,-3.05
2,Sun,17-Sep,1:00PM ET,boxscore,W,,Feb-00,,Buffalo Bills,9,3,19,255,178,77,,10,176,107,69,,-5.88,16.06,-3.19
3,Sun,24-Sep,1:00PM ET,boxscore,L,,1-Feb,,New Orleans Saints,13,34,18,288,156,132,3,21,362,213,149,,-5.22,-15.41,1.34
4,Sun,1-Oct,1:00PM ET,boxscore,W,,1-Mar,@,New England Patriots,33,30,28,444,304,140,2,24,373,293,80,,24.18,-18.56,-2.62
5,Sun,8-Oct,1:00PM ET,boxscore,W,,1-Apr,@,Detroit Lions,27,24,16,362,334,28,,19,242,192,50,1,5.73,2.13,-3.66
6,Thu,12-Oct,8:25PM ET,boxscore,L,,2-Apr,,Philadelphia Eagles,23,28,23,305,225,80,3,15,310,209,101,1,-6.23,0.91,-1.91
7,Sun,22-Oct,1:00PM ET,boxscore,L,,3-Apr,@,Chicago Bears,3,17,20,293,185,108,3,5,153,85,68,,-25.2,10.91,3.91
8,Sun,29-Oct,1:00PM ET,boxscore,W,,3-May,@,Tampa Bay Buccaneers,17,3,14,254,154,100,1,16,279,194,85,3,-5.03,17.39,2.23
9,Sun,5-Nov,1:00PM ET,boxscore,W,,3-Jun,,Atlanta Falcons,20,17,20,330,129,201,2,17,355,302,53,1,-3.16,7.37,-0.79
10,Mon,13-Nov,8:30PM ET,boxscore,W,,3-Jul,,Miami Dolphins,45,21,30,548,254,294,,17,313,213,100,1,37.09,-6.13,-4.23
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,26-Nov,1:00PM ET,boxscore,W,,3-Aug,@,New York Jets,35,27,17,299,154,145,,21,391,282,109,1,0.41,-2.82,7
13,Sun,3-Dec,4:25PM ET,boxscore,L,,4-Aug,@,New Orleans Saints,21,31,16,279,167,112,1,19,400,252,148,1,-0.22,-7.77,1.64
14,Sun,10-Dec,1:00PM ET,boxscore,W,,4-Sep,,Minnesota Vikings,31,24,15,345,129,216,1,21,356,256,100,3,5.54,2.26,-1.07
15,Sun,17-Dec,1:00PM ET,boxscore,W,,4-Oct,,Green Bay Packers,31,24,29,387,236,151,,24,384,264,120,4,17.49,-7.5,-1.31
16,Sun,24-Dec,1:00PM ET,boxscore,W,,4-Nov,,Tampa Bay Buccaneers,22,19,20,255,140,115,1,20,392,326,66,3,1.45,-3.31,6.93
17,Sun,31-Dec,4:25PM ET,boxscore,L,,5-Nov,@,Atlanta Falcons,10,22,15,248,161,87,3,20,371,311,60,,-14.47,-3.52,3.81
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,7-Jan,4:40PM ET,boxscore,L,,6-Nov,@,New Orleans Saints,26,31,24,413,306,107,,21,410,369,41,1,13.02,-15.88,-3.79
