,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:23PM ET,boxscore,W,,Jan-00,,Arizona Cardinals,27,24,20,366,299,67,2,25,390,304,86,2,2.3,-6.72,7.86
2,Sun,15-Sep,1:03PM ET,boxscore,L,,1-Jan,@,Atlanta Falcons,24,31,24,421,352,69,1,19,393,357,36,,4.7,-13.68,-1.07
3,Sun,22-Sep,1:02PM ET,boxscore,L,,2-Jan,@,Dallas Cowboys,7,31,17,232,197,35,1,21,396,203,193,1,-14.3,-18.31,10.56
4,Thu,26-Sep,8:25PM ET,boxscore,L,,3-Jan,,San Francisco 49ers,11,35,14,188,170,18,2,19,370,151,219,2,-24.26,-3.33,4.15
5,Sun,6-Oct,1:00PM ET,boxscore,W,,3-Feb,,Jacksonville Jaguars,34,20,22,351,208,143,,16,363,267,96,3,8.35,15.27,-7.86
6,Sun,13-Oct,1:03PM ET,boxscore,W,,3-Mar,@,Houston Texans,38,13,15,216,117,99,,27,420,267,153,4,12.54,2.23,8.67
7,Sun,20-Oct,1:03PM ET,boxscore,L,,4-Mar,@,Carolina Panthers,15,30,15,317,254,63,3,21,282,180,102,,-13,-3.35,0.5
8,Mon,28-Oct,8:30PM ET,boxscore,L,,5-Mar,,Seattle Seahawks,9,14,23,339,139,200,2,7,135,91,44,,-8.8,8.93,-3.02
9,Sun,3-Nov,1:00PM ET,boxscore,L,,6-Mar,,Tennessee Titans,21,28,21,363,203,160,2,22,363,165,198,2,2.18,-10.77,0.51
10,Sun,10-Nov,1:03PM ET,boxscore,W,,6-Apr,@,Indianapolis Colts,38,8,12,372,232,140,1,21,406,388,18,5,4.38,16.8,8.8
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,24-Nov,1:00PM ET,boxscore,W,,6-May,,Chicago Bears,42,21,20,406,148,258,,30,424,344,80,3,18.5,-1.15,3.59
13,Sun,1-Dec,4:05PM ET,boxscore,L,,7-May,@,San Francisco 49ers,13,23,19,312,198,114,1,20,338,255,83,1,-7.54,-4.47,2.6
14,Sun,8-Dec,4:25PM ET,boxscore,L,,8-May,@,Arizona Cardinals,10,30,14,257,157,100,2,25,369,262,107,1,-11.17,-12.25,7.07
15,Sun,15-Dec,4:25PM ET,boxscore,W,,8-Jun,,New Orleans Saints,27,16,17,302,158,144,,30,432,371,61,3,10.36,-7.72,8.61
16,Sun,22-Dec,1:00PM ET,boxscore,W,,8-Jul,,Tampa Bay Buccaneers,23,13,18,277,148,129,2,14,170,111,59,2,-2.07,6.06,3.27
17,Sun,29-Dec,4:26PM ET,boxscore,L,,9-Jul,@,Seattle Seahawks,9,27,11,158,145,13,2,20,269,158,111,,-18.54,-1.54,1.28
