,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,1:00PM ET,boxscore,W,,Jan-00,,Arizona Cardinals,35,23,19,367,285,82,1,24,308,263,45,4,-6.69,18.14,1.34
2,Mon,18-Sep,8:30PM ET,boxscore,W,,Feb-00,@,New York Giants,24,10,12,257,119,138,1,14,270,208,62,1,-5.01,9.08,7.78
3,Sun,24-Sep,1:00PM ET,boxscore,L,,1-Feb,,Atlanta Falcons,26,30,21,324,253,71,,26,428,277,151,3,-0.21,-2.82,2.52
4,Sun,1-Oct,1:00PM ET,boxscore,W,,1-Mar,@,Minnesota Vikings,14,7,19,251,154,97,,15,284,197,87,3,-5.23,10.05,-0.21
5,Sun,8-Oct,1:00PM ET,boxscore,L,,2-Mar,,Carolina Panthers,24,27,19,242,192,50,1,16,362,334,28,,-2.13,-5.73,3.66
6,Sun,15-Oct,1:00PM ET,boxscore,L,,3-Mar,@,New Orleans Saints,38,52,18,347,281,66,5,19,379,186,193,3,-23.24,3.8,5.33
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,29-Oct,8:30PM ET,boxscore,L,,4-Mar,,Pittsburgh Steelers,15,20,21,482,411,71,1,17,392,317,75,2,0.88,-7.88,0.42
9,Mon,6-Nov,8:30PM ET,boxscore,W,,4-Apr,@,Green Bay Packers,30,17,24,417,353,64,1,21,311,233,78,,20.08,-4.31,-2.77
10,Sun,12-Nov,1:00PM ET,boxscore,W,,4-May,,Cleveland Browns,38,24,16,345,241,104,1,26,413,212,201,2,10.64,-4.03,1.11
11,Sun,19-Nov,1:00PM ET,boxscore,W,,4-Jun,@,Chicago Bears,27,24,20,352,287,65,1,24,398,176,222,1,8.12,-11.16,6.16
12,Thu,23-Nov,12:30PM ET,boxscore,L,,5-Jun,,Minnesota Vikings,23,30,17,289,236,53,2,28,408,272,136,,-1.95,-14.39,5.37
13,Sun,3-Dec,1:00PM ET,boxscore,L,,6-Jun,@,Baltimore Ravens,20,44,18,372,294,78,3,24,370,269,101,,-5.85,-13.12,-5.09
14,Sun,10-Dec,1:00PM ET,boxscore,W,,6-Jul,@,Tampa Bay Buccaneers,24,21,21,434,381,53,3,28,400,267,133,5,7.76,-3.71,-0.42
15,Sat,16-Dec,4:30PM ET,boxscore,W,,6-Aug,,Chicago Bears,20,10,18,293,202,91,1,22,349,306,43,3,3.59,3.76,0.98
16,Sun,24-Dec,1:00PM ET,boxscore,L,,7-Aug,@,Cincinnati Bengals,17,26,15,276,189,87,1,28,364,222,142,1,-2.71,-7.59,-0.91
17,Sun,31-Dec,1:00PM ET,boxscore,W,,7-Sep,,Green Bay Packers,35,11,18,356,305,51,,17,256,153,103,4,12.64,11.12,1.82
