,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,8:31PM ET,boxscore,W,,Jan-00,,New York Giants,27,26,27,436,356,80,3,18,288,189,99,,4.61,-2.48,-2.2
2,Sun,20-Sep,4:25PM ET,boxscore,W,,Feb-00,@,Philadelphia Eagles,20,10,21,359,250,109,2,17,226,219,7,3,-6.08,15.51,1.73
3,Sun,27-Sep,1:03PM ET,boxscore,L,,1-Feb,,Atlanta Falcons,28,39,23,347,220,127,1,26,438,280,158,,12.25,-24.77,0.64
4,Sun,4-Oct,8:30PM ET,boxscore,L,OT,2-Feb,@,New Orleans Saints,20,26,21,335,220,115,,27,438,335,103,,10.86,-18.09,-0.16
5,Sun,11-Oct,4:25PM ET,boxscore,L,,3-Feb,,New England Patriots,6,30,18,265,163,102,2,20,356,247,109,,-15.25,-7.94,0.38
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,25-Oct,4:25PM ET,boxscore,L,,4-Feb,@,New York Giants,20,27,27,460,227,233,4,13,289,157,132,,2.39,-1.44,-10.3
8,Sun,1-Nov,4:25PM ET,boxscore,L,,5-Feb,,Seattle Seahawks,12,13,14,220,91,129,,19,323,210,113,1,-7.75,-0.06,2.69
9,Sun,8-Nov,8:31PM ET,boxscore,L,OT,6-Feb,,Philadelphia Eagles,27,33,25,411,277,134,1,25,459,287,172,,11.6,-14.81,-0.73
10,Sun,15-Nov,1:05PM ET,boxscore,L,,7-Feb,@,Tampa Bay Buccaneers,6,10,12,216,174,42,1,23,330,246,84,2,-8.71,-1.55,6.55
11,Sun,22-Nov,1:03PM ET,boxscore,W,,7-Mar,@,Miami Dolphins,24,14,22,386,220,166,2,9,210,140,70,1,2.78,10.03,-0.88
12,Thu,26-Nov,4:31PM ET,boxscore,L,,8-Mar,,Carolina Panthers,14,33,14,210,179,31,3,18,294,165,129,,-18.68,-0.1,-1.47
13,Mon,7-Dec,8:31PM ET,boxscore,W,,8-Apr,@,Washington Redskins,19,16,16,318,221,97,3,15,266,193,73,1,-8.26,4.13,9.39
14,Sun,13-Dec,4:25PM ET,boxscore,L,,9-Apr,@,Green Bay Packers,7,28,11,270,99,171,1,29,435,205,230,,-13.6,-6.9,3.05
15,Sat,19-Dec,8:26PM ET,boxscore,L,,10-Apr,,New York Jets,16,19,15,309,176,133,4,20,372,299,73,1,-10.81,0.36,9.21
16,Sun,27-Dec,1:02PM ET,boxscore,L,,11-Apr,@,Buffalo Bills,6,16,14,307,186,121,2,19,408,172,236,2,-4.89,0.35,-6.43
17,Sun,3-Jan,1:03PM ET,boxscore,L,,12-Apr,,Washington Redskins,23,34,27,512,412,100,4,19,437,291,146,,4.93,-16.48,-1.86
