,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,7-Sep,4:25PM ET,boxscore,W,,Jan-00,@,Dallas Cowboys,28,17,19,319,192,127,,26,382,255,127,4,9.57,2.69,-0.64
2,Sun,14-Sep,8:31PM ET,boxscore,L,,1-Jan,,Chicago Bears,20,28,19,359,232,127,4,19,216,170,46,,-5.4,-5.33,5.13
3,Sun,21-Sep,4:05PM ET,boxscore,L,,2-Jan,@,Arizona Cardinals,14,23,20,318,236,82,,24,338,254,84,1,10.85,-14.03,-4.65
4,Sun,28-Sep,4:25PM ET,boxscore,W,,2-Feb,,Philadelphia Eagles,26,21,20,407,189,218,1,11,213,191,22,4,-5.23,19.02,-6.62
5,Sun,5-Oct,4:25PM ET,boxscore,W,,2-Mar,,Kansas City Chiefs,22,17,22,357,186,171,,14,265,158,107,1,7.73,-3.49,3.14
6,Mon,13-Oct,8:30PM ET,boxscore,W,,2-Apr,@,St. Louis Rams,31,17,17,432,343,89,1,19,309,216,93,1,3.52,6.63,2.69
7,Sun,19-Oct,8:30PM ET,boxscore,L,,3-Apr,@,Denver Broncos,17,42,22,310,248,62,1,23,419,304,115,,1.12,-25.58,1.42
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,2-Nov,4:05PM ET,boxscore,L,,4-Apr,,St. Louis Rams,10,13,20,263,183,80,2,13,193,102,91,2,-8.75,12.29,-7.94
10,Sun,9-Nov,1:03PM ET,boxscore,W,OT,4-May,@,New Orleans Saints,27,24,21,330,186,144,1,23,423,287,136,3,3.01,1.17,-0.61
11,Sun,16-Nov,1:03PM ET,boxscore,W,,4-Jun,@,New York Giants,16,10,20,333,185,148,1,17,330,265,65,5,-2.1,15.94,-2.04
12,Sun,23-Nov,4:25PM ET,boxscore,W,,4-Jul,,Washington Redskins,17,13,16,312,246,66,3,12,213,77,136,1,-3.79,12.86,-1.71
13,Thu,27-Nov,8:31PM ET,boxscore,L,,5-Jul,,Seattle Seahawks,3,19,16,164,100,64,3,16,379,222,157,,-7.67,-1.22,-2.93
14,Sun,7-Dec,4:25PM ET,boxscore,L,,6-Jul,@,Oakland Raiders,13,24,18,248,151,97,2,19,330,245,85,,-3.4,-5,-3.13
15,Sun,14-Dec,4:26PM ET,boxscore,L,,7-Jul,@,Seattle Seahawks,7,17,14,245,105,140,,18,290,138,152,1,-4.13,-5.13,-1.75
16,Sat,20-Dec,8:26PM ET,boxscore,L,OT,8-Jul,,San Diego Chargers,35,38,21,447,92,355,3,28,446,348,98,3,5.49,-9.89,1.47
17,Sun,28-Dec,4:25PM ET,boxscore,W,,8-Aug,,Arizona Cardinals,20,17,18,395,189,206,,26,397,299,98,3,9.81,-9.91,5.1
