,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,12-Sep,10:20PM ET,boxscore,W,,Jan-00,,Los Angeles Rams,28,0,28,320,170,150,1,10,185,120,65,2,5.1,25.61,-3.9
2,Sun,18-Sep,1:03PM ET,boxscore,L,,1-Jan,@,Carolina Panthers,27,46,16,302,237,65,3,26,529,353,176,4,-13.97,-10.97,5.67
3,Sun,25-Sep,4:05PM ET,boxscore,L,,2-Jan,@,Seattle Seahawks,18,37,12,254,119,135,1,18,418,291,127,2,-5.4,-9.29,-4.06
4,Sun,2-Oct,4:25PM ET,boxscore,L,,3-Jan,,Dallas Cowboys,17,24,14,295,189,106,1,26,428,234,194,,2.03,-15.96,5.8
5,Thu,6-Oct,8:27PM ET,boxscore,L,,4-Jan,,Arizona Cardinals,21,33,25,286,135,151,3,17,288,116,172,,-2.05,3.49,-11.2
6,Sun,16-Oct,1:02PM ET,boxscore,L,,5-Jan,@,Buffalo Bills,16,45,16,300,167,133,1,29,492,179,313,2,-6.77,-19.86,-2.66
7,Sun,23-Oct,4:05PM ET,boxscore,L,,6-Jan,,Tampa Bay Buccaneers,17,34,20,273,113,160,3,27,513,264,249,1,-2.93,-14.93,1.95
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,6-Nov,4:05PM ET,boxscore,L,,7-Jan,,New Orleans Saints,23,41,19,486,393,93,4,29,571,323,248,,-3.2,-29.46,11.54
10,Sun,13-Nov,4:25PM ET,boxscore,L,,8-Jan,@,Arizona Cardinals,20,23,15,281,198,83,1,26,443,363,80,4,-0.69,-6.62,4.31
11,Sun,20-Nov,4:25PM ET,boxscore,L,,9-Jan,,New England Patriots,17,30,20,299,177,122,,28,444,273,171,,1.68,-17.09,-1.82
12,Sun,27-Nov,1:00PM ET,boxscore,L,,10-Jan,@,Miami Dolphins,24,31,25,475,282,193,2,19,358,263,95,,12.23,-13.75,0.56
13,Sun,4-Dec,1:00PM ET,boxscore,L,,11-Jan,@,Chicago Bears,6,26,10,147,6,141,,19,326,184,142,1,-15.47,-6.76,3.4
14,Sun,11-Dec,4:05PM ET,boxscore,L,OT,12-Jan,,New York Jets,17,23,17,364,116,248,,24,404,216,188,1,1.32,-1.98,-5.34
15,Sun,18-Dec,4:05PM ET,boxscore,L,,13-Jan,@,Atlanta Falcons,13,41,15,272,165,107,1,29,550,302,248,1,0.33,-28.85,1.86
16,Sat,24-Dec,4:25PM ET,boxscore,W,,13-Feb,@,Los Angeles Rams,22,21,21,323,253,70,2,13,177,78,99,2,-4.52,10.68,-8.08
17,Sun,1-Jan,4:25PM ET,boxscore,L,,14-Feb,,Seattle Seahawks,23,25,14,253,191,62,2,18,376,289,87,,-5.26,-5.68,6.18
