,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,9-Sep,1:03PM ET,boxscore,W,,Jan-00,,Miami Dolphins,30,10,19,337,254,83,,15,275,199,76,4,5.26,28.02,-13.73
2,Sun,16-Sep,1:03PM ET,boxscore,W,,Feb-00,@,Jacksonville Jaguars,27,7,28,411,195,216,,9,117,52,65,1,13.96,17.45,-8.29
3,Sun,23-Sep,4:25PM ET,boxscore,W,,Mar-00,@,Denver Broncos,31,25,23,436,284,152,2,24,375,316,59,1,11.08,-6.82,1.21
4,Sun,30-Sep,1:03PM ET,boxscore,W,,Apr-00,,Tennessee Titans,38,14,16,297,202,95,,17,325,167,158,3,6.09,16.37,1.06
5,Mon,8-Oct,8:40PM ET,boxscore,W,,May-00,@,New York Jets,23,17,18,378,209,169,1,15,286,217,69,2,2.86,10.26,-6.34
6,Sun,14-Oct,8:30PM ET,boxscore,L,,1-May,,Green Bay Packers,24,42,23,321,231,90,3,25,427,328,99,,0.13,-19.84,2.97
7,Sun,21-Oct,1:02PM ET,boxscore,W,,1-Jun,,Baltimore Ravens,43,13,27,420,239,181,,12,176,121,55,2,17.98,19.8,-6.88
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,4-Nov,1:02PM ET,boxscore,W,,1-Jul,,Buffalo Bills,21,9,21,374,256,118,,17,304,230,74,1,8.35,4.28,-1.34
10,Sun,11-Nov,8:31PM ET,boxscore,W,,1-Aug,@,Chicago Bears,13,6,13,215,88,127,2,8,249,134,115,4,-15.99,26.28,-1.41
11,Sun,18-Nov,1:03PM ET,boxscore,W,OT,1-Sep,,Jacksonville Jaguars,43,37,39,653,504,149,3,17,458,372,86,1,22.81,-10.25,-9.42
12,Thu,22-Nov,12:39PM ET,boxscore,W,OT,1-Oct,@,Detroit Lions,34,31,26,501,296,205,1,29,525,419,106,1,14.3,-12.59,-1.01
13,Sun,2-Dec,1:02PM ET,boxscore,W,,1-Nov,@,Tennessee Titans,24,10,16,331,207,124,,17,354,265,89,6,-5.4,22.99,0.72
14,Mon,10-Dec,8:40PM ET,boxscore,L,,2-Nov,@,New England Patriots,14,42,19,323,223,100,1,27,419,289,130,1,-6.13,-20.98,0.88
15,Sun,16-Dec,1:02PM ET,boxscore,W,,2-Dec,,Indianapolis Colts,29,17,23,417,239,178,,19,272,148,124,1,12.73,-0.25,-2.84
16,Sun,23-Dec,1:03PM ET,boxscore,L,,3-Dec,,Minnesota Vikings,6,23,11,187,153,34,2,22,345,171,174,1,-17.73,-0.98,1.45
17,Sun,30-Dec,1:02PM ET,boxscore,L,,4-Dec,@,Indianapolis Colts,16,28,19,352,250,102,2,19,265,184,81,,3.14,-10.35,-7.95
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,5-Jan,4:35PM ET,boxscore,W,,13-4,,Cincinnati Bengals,19,13,24,420,262,158,1,12,198,118,80,1,0.95,10.95,-4.81
Division,Sun,13-Jan,4:40PM ET,boxscore,L,,13-5,@,New England Patriots,28,41,25,425,334,91,1,24,457,335,122,,9.61,-20.49,0.69
