,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,11-Sep,1:05PM ET,boxscore,W,,Jan-00,,Indianapolis Colts,34,7,26,384,217,167,3,15,236,172,64,2,2.6,14.41,8.14
2,Sun,18-Sep,4:15PM ET,boxscore,W,,Feb-00,@,Miami Dolphins,23,13,19,345,207,138,,18,306,153,153,2,3.32,5.49,6.91
3,Sun,25-Sep,1:02PM ET,boxscore,L,,1-Feb,@,New Orleans Saints,33,40,21,473,364,109,1,27,454,354,100,2,13.31,-17.11,-7.01
4,Sun,2-Oct,1:03PM ET,boxscore,W,,1-Mar,,Pittsburgh Steelers,17,10,17,318,138,180,,20,296,178,118,1,7.74,-0.03,-1.91
5,Sun,9-Oct,1:02PM ET,boxscore,L,,2-Mar,,Oakland Raiders,20,25,21,473,403,70,2,11,278,184,94,1,-1.62,8.36,-14.41
6,Sun,16-Oct,4:06PM ET,boxscore,L,,3-Mar,@,Baltimore Ravens,14,29,18,293,200,93,,24,402,289,113,2,-7.48,-5.56,-3.65
7,Sun,23-Oct,1:02PM ET,boxscore,W,,3-Apr,@,Tennessee Titans,41,7,29,518,296,222,,11,148,95,53,2,22.84,13.56,-2.83
8,Sun,30-Oct,1:02PM ET,boxscore,W,,3-May,,Jacksonville Jaguars,24,14,20,358,202,156,2,13,174,90,84,2,-3.75,15.34,-3.14
9,Sun,6-Nov,1:03PM ET,boxscore,W,,3-Jun,,Cleveland Browns,30,12,21,380,119,261,1,10,172,128,44,2,13.76,13.53,-6.68
10,Sun,13-Nov,1:02PM ET,boxscore,W,,3-Jul,@,Tampa Bay Buccaneers,37,9,21,420,235,185,,12,231,141,90,4,15.5,23.96,-10.67
11,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
12,Sun,27-Nov,1:03PM ET,boxscore,W,,3-Aug,@,Jacksonville Jaguars,20,13,9,215,127,88,1,14,255,150,105,1,-22.9,17.08,12.98
13,Sun,4-Dec,1:03PM ET,boxscore,W,,3-Sep,,Atlanta Falcons,17,10,20,337,175,162,1,18,337,267,70,2,2.56,6.69,-4.22
14,Sun,11-Dec,1:02PM ET,boxscore,W,,3-Oct,@,Cincinnati Bengals,20,19,25,412,268,144,4,16,285,184,101,2,4.54,0.3,-5.91
15,Sun,18-Dec,1:03PM ET,boxscore,L,,4-Oct,,Carolina Panthers,13,28,18,358,208,150,3,20,316,150,166,,-4.07,-13.78,-1.27
16,Thu,22-Dec,8:29PM ET,boxscore,L,,5-Oct,@,Indianapolis Colts,16,19,14,283,112,171,1,24,320,225,95,1,-4.69,0.55,1.44
17,Sun,1-Jan,1:02PM ET,boxscore,L,,6-Oct,,Tennessee Titans,22,23,22,387,235,152,1,17,361,275,86,1,2.54,-3.67,-1.85
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,7-Jan,4:35PM ET,boxscore,W,,6-Nov,,Cincinnati Bengals,31,10,19,340,152,188,,21,300,224,76,3,13.28,5.39,2.15
Division,Sun,15-Jan,1:05PM ET,boxscore,L,,7-Nov,@,Baltimore Ravens,13,20,16,315,184,131,4,11,227,140,87,,-10.62,14.6,-12.62
