,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,10-Sep,1:00PM ET,boxscore,L,,0-1,,Jacksonville Jaguars,7,29,23,203,110,93,4,19,280,125,155,,-24.86,-5.46,6.79
2,Thu,14-Sep,8:25PM ET,boxscore,W,,1-Jan,@,Cincinnati Bengals,13,9,14,266,98,168,,12,295,213,82,1,-7.16,17.23,-7.54
3,Sun,24-Sep,1:00PM ET,boxscore,L,,2-Jan,@,New England Patriots,33,36,23,417,292,125,2,21,396,337,59,1,7.08,-11.52,1.48
4,Sun,1-Oct,1:00PM ET,boxscore,W,,2-Feb,,Tennessee Titans,57,14,33,445,272,173,1,9,195,109,86,5,27.31,20.24,-3.14
5,Sun,8-Oct,8:30PM ET,boxscore,L,,3-Feb,,Kansas City Chiefs,34,42,20,392,248,144,1,29,450,323,127,,13.3,-18.88,-3.73
6,Sun,15-Oct,1:00PM ET,boxscore,W,,3-Mar,,Cleveland Browns,33,17,18,340,217,123,1,16,247,113,134,3,1.49,19.02,0.42
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,29-Oct,4:05PM ET,boxscore,L,,4-Mar,@,Seattle Seahawks,38,41,25,509,367,142,3,21,479,446,33,1,11.2,-15.52,1.38
9,Sun,5-Nov,1:00PM ET,boxscore,L,,5-Mar,,Indianapolis Colts,14,20,19,288,194,94,1,17,371,279,92,1,-3.11,1.23,-1.8
10,Sun,12-Nov,4:05PM ET,boxscore,L,,6-Mar,@,Los Angeles Rams,7,33,17,283,194,89,4,19,443,339,104,,-16.14,-7.2,-2.86
11,Sun,19-Nov,1:00PM ET,boxscore,W,,6-Apr,,Arizona Cardinals,31,21,22,357,223,134,2,17,292,244,48,2,4.78,2.48,3.27
12,Mon,27-Nov,8:30PM ET,boxscore,L,,7-Apr,@,Baltimore Ravens,16,23,20,303,237,66,3,17,294,155,139,,-3.67,-0.8,-7.6
13,Sun,3-Dec,1:00PM ET,boxscore,L,,8-Apr,@,Tennessee Titans,13,24,24,384,331,53,1,19,344,146,198,1,3.6,-18.55,2.53
14,Sun,10-Dec,1:00PM ET,boxscore,L,,9-Apr,,San Francisco 49ers,16,26,18,311,221,90,1,20,416,314,102,1,-4.09,-6.06,1
15,Sun,17-Dec,1:00PM ET,boxscore,L,,10-Apr,@,Jacksonville Jaguars,7,45,9,186,99,87,1,25,464,326,138,,-18.07,-22.61,2.91
16,Mon,25-Dec,4:30PM ET,boxscore,L,,11-Apr,,Pittsburgh Steelers,6,34,13,227,51,176,2,20,330,226,104,,-11.08,-16.63,-0.91
17,Sun,31-Dec,1:00PM ET,boxscore,L,,12-Apr,@,Indianapolis Colts,13,22,15,209,124,85,1,20,250,104,146,,-1.07,-4.32,-3.08
