,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,9-Sep,10:25PM ET,boxscore,W,,Jan-00,@,San Diego Chargers,31,28,26,449,329,120,1,14,263,183,80,1,9.17,-2.52,-2.49
2,Sun,15-Sep,1:03PM ET,boxscore,W,OT,Feb-00,,Tennessee Titans,30,24,25,452,280,172,2,14,248,129,119,,0.69,10.58,-6.54
3,Sun,22-Sep,1:03PM ET,boxscore,L,,1-Feb,@,Baltimore Ravens,9,30,18,264,170,94,1,16,236,161,75,,-12.71,-3.46,-5.26
4,Sun,29-Sep,1:03PM ET,boxscore,L,OT,2-Feb,,Seattle Seahawks,20,23,29,476,325,151,3,15,270,91,179,2,-2.11,8.09,-6.86
5,Sun,6-Oct,8:31PM ET,boxscore,L,,3-Feb,@,San Francisco 49ers,3,34,17,313,182,131,4,17,284,107,177,,-19.21,-4.7,-4.81
6,Sun,13-Oct,1:03PM ET,boxscore,L,,4-Feb,,St. Louis Rams,13,38,27,420,267,153,4,15,216,117,99,,-2.23,-12.54,-8.67
7,Sun,20-Oct,4:26PM ET,boxscore,L,,5-Feb,@,Kansas City Chiefs,16,17,14,294,221,73,1,20,357,231,126,2,-5.02,1,2.3
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,3-Nov,8:30PM ET,boxscore,L,,6-Feb,,Indianapolis Colts,24,27,22,483,340,143,,17,314,245,69,,15.1,-11.62,-9.34
10,Sun,10-Nov,4:25PM ET,boxscore,L,,7-Feb,@,Arizona Cardinals,24,27,17,235,159,76,1,19,332,235,97,3,-14.42,5.28,3.52
11,Sun,17-Nov,1:03PM ET,boxscore,L,,8-Feb,,Oakland Raiders,23,28,14,394,304,90,2,12,341,176,165,,-14.44,4.55,7.68
12,Sun,24-Nov,1:02PM ET,boxscore,L,,9-Feb,,Jacksonville Jaguars,6,13,11,218,141,77,1,16,333,215,118,,-14.08,-0.61,6.1
13,Sun,1-Dec,1:02PM ET,boxscore,L,,10-Feb,,New England Patriots,31,34,19,385,264,121,1,28,453,365,88,1,11.24,-17.29,1.17
14,Thu,5-Dec,8:29PM ET,boxscore,L,,11-Feb,@,Jacksonville Jaguars,20,27,23,406,323,83,2,18,281,132,149,,-2.03,-7.27,-1.06
15,Sun,15-Dec,1:02PM ET,boxscore,L,,12-Feb,@,Indianapolis Colts,3,25,12,239,132,107,2,19,331,179,152,1,-22.32,3.38,-1.79
16,Sun,22-Dec,1:02PM ET,boxscore,L,,13-Feb,,Denver Broncos,13,37,14,240,153,87,2,25,511,397,114,,-12.07,-15.76,4
17,Sun,29-Dec,1:02PM ET,boxscore,L,,14-Feb,@,Tennessee Titans,10,16,19,288,223,65,4,17,311,160,151,1,-6.18,2.54,-3.85
